UCBv4	UCBv1	UCBv3
0.612	0.622	0.614
0.635	0.646	0.636
0.647	0.651	0.641
0.657	0.652	0.644
0.658	0.655	0.646
0.659	0.657	0.651
0.66	0.659	0.657
0.661	0.66	0.658
0.662	0.661	0.659
0.662	0.661	0.66
